date,product_id,quantity,vendor,unit_price
2018-12-27,53,160,A,1.1
2020-12-21,31,202,B,0.66
2018-03-25,29,141,B,0.9
2018-05-18,81,129,B,0.8
2020-12-02,15,186,A,0.92
2020-12-14,83,106,A,0.97
2018-03-12,30,139,B,0.74
2019-11-12,42,224,C,0.73
2020-07-04,72,80,D,0.73
2019-07-18,24,102,D,0.92
2019-11-09,47,106,D,0.9
2019-07-12,24,159,C,0.8
2019-07-10,35,186,C,0.77
2020-04-24,49,136,C,1.02
2019-02-19,88,122,D,1.1
2019-06-05,59,209,A,0.66
2018-02-14,25,94,D,0.9
2020-05-20,1,159,D,0.8
2019-12-31,3,81,C,0.92
2018-03-30,52,214,A,0.97
2019-06-22,41,97,C,0.74
2021-02-24,44,91,C,0.73
2019-08-20,56,94,B,0.73
2019-09-22,29,181,A,0.92
2019-12-31,2,92,B,0.9
2021-02-10,32,155,B,0.8
2018-10-06,58,88,B,0.77
2018-05-05,84,80,A,1.02
2019-08-17,65,168,A,1.1
2018-11-27,13,133,B,0.66
2020-08-03,43,184,C,0.97
2018-06-05,69,100,D,0.75
2019-11-20,57,225,D,0.77
2020-09-11,68,141,D,1.08
2021-02-26,18,108,C,0.87
2021-02-19,41,223,C,0.86
2019-05-20,75,198,C,0.77
2020-06-26,90,122,D,1.02
2019-09-27,54,155,A,0.88
2020-09-22,88,99,D,1.06
2018-05-11,40,98,D,0.95
2020-11-06,52,212,C,1.06
2020-05-01,31,187,A,1.1
2019-12-21,61,179,C,0.92
2019-11-30,21,125,C,0.97
2020-09-25,67,82,B,0.74
2020-12-13,48,216,A,0.73
2021-01-22,58,206,B,0.73
2019-09-29,2,154,B,0.92
2019-12-16,17,175,B,0.9
2019-05-02,25,178,A,0.8
2020-05-29,58,206,A,0.77
2018-03-17,60,136,B,1.02
2019-09-01,51,115,C,1.1
2018-06-12,49,161,D,0.66
2018-01-04,26,153,D,0.9
2019-09-06,13,219,D,0.8
2020-10-23,32,194,C,0.92
2019-12-03,48,145,C,0.97
2018-01-01,17,106,C,0.74
2020-06-05,16,167,D,0.73
2020-08-13,56,159,A,0.73
2019-05-07,24,185,D,0.92
2019-05-07,18,112,D,0.9
2018-12-09,86,144,C,0.8
2019-02-13,19,140,A,0.77
2020-07-22,65,185,C,1.02
2020-08-12,15,121,C,1.1
2020-09-04,23,151,B,0.66
2020-06-30,81,85,A,0.9
2020-05-27,41,174,B,0.8
2020-08-05,64,190,B,0.92
2018-03-05,20,215,B,0.97
2018-05-06,37,122,A,0.74
2018-09-20,29,215,A,0.73
2019-05-06,79,90,B,0.73
2019-10-24,15,225,C,0.92
2018-04-17,83,94,D,0.9
2021-02-06,41,180,D,0.8
2018-12-13,62,128,D,0.77
2018-02-20,5,84,C,1.02
2019-06-04,61,109,C,1.1
2019-12-30,31,97,C,0.66
2018-06-09,61,100,D,0.97
2018-06-01,63,140,A,0.75
2019-10-28,60,192,D,0.77
2018-11-08,42,170,D,1.08
2020-02-27,22,177,C,0.87
2021-02-27,45,210,A,0.86
2020-11-05,41,147,C,0.77
2018-05-07,75,204,C,1.02
2020-12-19,25,167,B,0.88
2020-01-09,70,131,A,1.06
2019-11-18,50,78,B,0.95
2018-07-05,6,194,B,1.06
2019-06-19,32,171,B,0.92
2018-01-24,37,145,A,0.97
2020-09-13,50,181,A,0.74
2020-08-22,61,104,B,0.73
2019-11-18,22,121,C,0.73
2018-11-26,71,111,D,0.92
2020-05-06,33,185,D,0.9
2019-09-06,36,91,D,0.8
2020-07-12,59,110,C,0.77
2018-12-08,74,79,C,1.02
2018-04-03,68,117,C,1.1
2018-11-25,91,166,D,0.66
2020-02-16,13,142,A,0.9
2018-06-15,22,175,D,0.8
2018-06-25,34,114,D,0.92
2019-01-10,78,79,C,0.97
2019-06-28,68,112,A,0.74
2020-12-16,91,198,C,0.73
2018-06-27,2,191,C,0.73
2020-09-06,27,103,B,0.92
2021-01-18,19,142,A,0.9
2019-01-26,85,121,B,0.8
2019-07-23,43,167,B,0.77
2020-06-06,83,155,B,1.02
2020-07-17,51,84,A,1.1
2020-10-28,59,147,A,0.66
2018-02-22,59,88,B,0.9
2019-07-22,77,177,C,0.8
2020-12-02,72,207,D,0.92
2019-07-04,7,169,D,0.97
2019-09-15,52,225,D,0.74
2019-10-26,90,97,C,0.73
2020-06-23,19,100,C,0.73
2019-06-05,33,168,C,0.92
2019-06-16,38,199,D,0.9
2018-06-20,15,183,A,0.8
2020-02-09,24,86,D,0.77
2019-01-24,84,99,D,1.02
2019-01-07,18,104,C,1.1
2020-09-02,45,208,A,0.66
2020-11-04,87,124,C,0.97
2021-01-01,83,224,C,0.75
2020-09-10,72,170,B,0.77
2019-03-27,9,168,A,1.08
2019-08-15,43,165,B,0.87
2020-12-23,36,183,B,0.86
2018-02-24,40,211,B,0.77
2020-12-24,72,189,A,1.02
2019-11-09,70,100,A,0.88
2019-03-10,44,209,B,1.06
2018-12-30,83,123,C,0.95
2018-03-25,18,188,D,1.06
2019-04-12,47,104,D,0.92
2018-04-22,66,141,D,0.97
2020-11-20,70,103,C,0.74
2019-07-31,2,121,C,0.73
2018-11-14,8,133,C,0.73
2019-06-10,27,168,D,0.92
2020-11-02,26,119,A,0.9
2021-02-05,37,115,D,0.8
2018-11-05,44,136,D,0.77
2018-10-27,30,108,C,1.02
2018-01-13,64,211,A,1.1
2019-07-07,29,152,C,0.66
2020-06-14,15,121,C,0.9
2021-03-10,21,156,B,0.8
2020-12-23,86,137,A,0.92
2020-08-03,18,176,B,0.97
2020-11-06,43,95,B,0.74
2018-06-06,70,145,B,0.73
2018-02-07,65,123,A,0.73
2019-07-09,33,211,A,0.92
2020-05-03,91,173,B,0.9
2020-11-19,46,126,C,0.8
2020-03-30,16,102,D,0.77
2021-02-19,42,156,D,1.02
2018-12-24,7,151,D,1.1
2019-05-17,50,146,C,0.66
2021-02-06,1,92,C,0.9
2021-02-18,59,224,C,0.8
2020-02-10,1,219,D,0.92
2020-07-07,76,135,A,0.97
2020-04-04,53,104,D,0.74
2018-12-25,72,192,D,0.73
2019-08-22,15,128,C,0.73
2019-04-29,42,194,A,0.92
2019-04-27,80,171,C,0.9
2018-10-11,37,165,C,0.8
2018-04-22,64,127,B,0.77
2018-02-09,17,123,A,1.02
2019-04-04,34,194,B,1.1
2018-12-20,85,157,B,0.66
2018-07-28,85,148,B,0.97
2019-07-02,76,76,A,0.75
2021-02-20,8,174,A,0.77
2018-11-13,81,96,B,1.08
2018-08-11,3,168,C,0.87
2020-02-07,76,139,D,0.86
2019-09-30,4,202,D,0.77
2018-04-06,8,106,D,1.02
2019-09-17,18,185,C,0.88
2018-04-15,49,119,C,1.06
2020-04-15,75,77,C,0.95
2020-06-28,20,170,D,1.06
2020-05-16,90,88,A,0.92
2020-11-16,41,120,D,0.97
2020-03-26,77,107,D,0.74
2020-07-13,33,144,C,0.73
2018-06-11,50,146,A,0.73
2020-10-21,58,119,C,0.92
2019-06-20,14,164,C,0.9
2018-02-03,18,186,B,0.8
2020-09-19,83,103,A,0.77
2018-06-27,81,157,B,1.02
2018-01-05,5,167,B,1.1
2020-08-11,30,112,B,0.66
2019-12-01,62,200,A,0.9
2020-02-29,83,175,A,0.8
2018-04-11,84,151,B,0.92
2020-02-06,28,180,C,0.97
2019-04-27,79,108,D,0.74
2019-06-30,86,187,D,0.73
2019-10-27,72,126,D,0.73
2018-11-26,29,193,C,0.92
2018-08-13,39,133,C,0.9
2018-08-17,69,134,C,0.8
2018-12-29,48,146,D,0.77
2018-12-18,5,107,A,1.02
2021-01-26,45,220,D,1.1
2020-01-15,40,120,D,0.66
2019-04-05,65,218,C,0.9
2019-02-19,37,147,A,0.8
2018-02-07,91,135,C,0.92
2019-05-09,7,207,C,0.97
2019-03-26,46,149,B,0.74
2019-06-09,19,165,A,0.73
2020-12-15,20,102,B,0.73
2020-06-28,24,212,B,0.92
2021-01-05,91,83,B,0.9
2018-10-26,29,157,A,0.8
2018-10-25,88,186,A,0.77
2020-01-27,84,184,B,1.02
2019-10-27,43,151,C,1.1
2018-04-27,88,224,D,0.66
2018-05-04,3,141,D,0.97
2020-07-15,44,82,D,0.75
2020-01-09,60,105,C,0.77
2019-08-17,47,80,C,1.08
2020-01-25,56,102,C,0.87
2019-12-06,26,190,D,0.86
2020-01-18,72,171,A,0.77
2020-09-17,11,198,D,1.02
2019-04-12,5,167,D,0.88
2018-12-05,69,86,C,1.06
2018-05-05,72,131,A,0.95
2019-09-18,6,77,C,1.06
2019-09-01,28,176,C,0.8
2021-02-17,6,92,B,0.8
2019-09-03,5,193,A,0.8
2018-05-11,51,109,B,0.8
2018-07-20,62,150,B,0.8
2018-09-10,59,156,B,0.8
2019-02-05,59,121,A,0.8
2020-10-30,84,221,A,0.81
2021-01-17,64,198,B,0.81
2019-01-17,5,209,C,0.81
2019-08-28,5,213,D,0.81
2020-12-12,69,155,D,0.81
2018-03-17,13,109,D,0.81
2019-04-01,74,210,C,0.81
2020-05-20,23,101,C,0.81
2018-12-22,43,160,C,0.81
2021-02-09,62,102,D,0.81
2020-12-30,55,172,A,0.81
2019-02-16,6,142,D,0.81
2020-11-06,19,118,D,0.81
2019-12-23,13,157,C,0.82
2018-09-03,32,85,A,0.82
2020-08-28,47,167,C,0.82
2019-01-17,62,113,C,0.82
2019-08-09,17,211,B,0.82
2018-06-14,75,125,C,0.82
2020-10-27,26,152,C,0.82
2019-11-03,59,133,D,0.82
2019-01-29,19,103,A,0.82
2018-04-01,62,83,D,0.82
2019-03-19,79,193,D,0.82
2019-09-15,66,220,C,0.82
2020-04-11,73,116,A,0.82
2020-12-10,62,159,C,0.82
2020-02-08,85,173,C,0.83
2020-01-08,52,101,B,0.83
2020-06-26,46,125,C,0.83
2019-12-09,64,189,C,0.83
2018-03-04,88,221,D,0.83
2018-01-23,46,88,A,0.83
2018-05-30,44,98,D,0.83
2021-03-11,46,152,D,0.83
2019-03-21,89,86,C,0.83
2020-06-05,90,122,A,0.83
2021-03-05,57,172,C,0.83
2018-09-04,74,208,C,0.83
2018-11-14,55,213,B,0.83
2020-05-04,1,217,C,0.84
2019-10-16,29,170,C,0.84
2019-11-02,38,166,D,0.84
2020-07-13,32,118,A,0.84
2021-01-08,48,202,D,0.84
2021-02-08,64,107,D,0.84
2020-07-24,68,169,C,0.84
2020-05-29,27,85,A,0.84
2018-02-06,33,214,C,0.84
2019-01-10,21,80,C,0.84
2019-04-29,42,162,B,0.84
2019-07-12,80,207,D,0.84
2019-11-24,15,145,C,0.84
2020-04-28,68,198,C,0.85
2019-03-11,61,115,C,0.85
2018-11-12,19,205,D,0.85
2020-01-23,2,222,A,0.85
2018-09-03,28,197,D,0.85
2019-02-06,67,154,D,0.85
2018-02-20,58,125,C,0.85
2018-08-28,69,188,A,0.85
2018-11-04,17,209,C,0.85
2018-03-21,51,168,C,0.9
2020-07-23,1,167,B,0.8
2019-01-27,31,188,A,0.92
2019-11-04,57,143,B,0.97
2019-09-09,21,153,B,0.74
2018-08-24,42,165,B,0.73
2020-12-13,21,186,A,0.73
2018-03-24,39,177,A,0.92
2021-02-27,70,183,B,0.9
2019-06-20,57,175,C,0.8
2019-10-11,8,182,D,0.77
2021-03-10,2,109,D,1.02
2018-06-27,59,105,D,1.1
2019-04-05,1,137,D,0.66
2019-10-16,57,129,B,0.89
2018-10-31,5,144,C,0.96
2021-02-26,45,143,C,0.93
2019-04-07,70,100,D,0.88
2018-11-14,12,105,D,0.8
2018-06-22,60,131,A,0.77
2018-10-08,11,118,A,0.98
2018-02-14,18,196,A,1
2019-10-20,37,139,D,1.06
2020-07-28,79,142,A,0.65
2020-09-02,89,117,D,0.65
2019-03-21,46,150,D,0.7
2018-12-02,15,150,B,0.99
2018-11-28,41,162,C,1.06
2018-01-08,26,183,B,0.77
2021-01-08,46,195,B,0.67
2020-02-03,66,172,B,0.69
2020-07-07,11,145,C,1.01
2021-03-06,27,155,C,0.96
2020-09-01,60,105,C,1.02
2018-08-20,47,167,D,0.97
2019-05-31,25,136,C,0.75
2019-04-13,19,127,B,0.63
2018-08-30,14,154,D,0.98
2019-03-16,39,100,D,0.99
2021-03-08,51,153,C,1.03
2020-11-07,65,136,B,0.9
2018-05-25,7,136,A,0.9
2018-09-13,83,202,B,0.8
2019-07-05,61,183,B,0.92
2018-09-05,78,100,B,0.97
2019-05-26,82,91,A,0.74
2019-01-16,53,209,A,0.73
2019-03-17,44,204,B,0.73
2019-01-21,54,138,C,0.92
2019-09-13,7,112,D,0.9
2018-01-14,10,108,D,0.8
2020-07-10,11,149,D,0.77
2019-05-07,77,144,C,1.02
2018-11-25,9,122,C,1.1
2021-03-10,56,79,C,0.66
2018-10-05,61,171,D,0.9
2019-10-09,66,179,A,0.8
2019-03-15,29,128,D,0.92
2019-04-14,7,145,D,0.97
2018-05-30,50,177,C,0.74
2020-03-28,82,142,A,0.73
2018-12-21,20,186,C,0.73
2018-04-05,36,160,C,0.92
2019-02-06,71,163,B,0.9
2019-09-01,39,154,A,0.8
2019-12-05,19,208,B,0.77
2019-04-22,91,158,B,1.02
2019-02-05,78,224,B,1.1
2020-02-14,63,172,A,0.66
2018-05-16,91,109,A,0.9
2019-08-02,5,175,B,0.8
2018-11-07,10,118,C,0.92
2020-12-11,40,133,D,0.97
2019-06-15,60,182,D,0.74
2018-03-02,5,200,D,0.73
2018-01-12,43,212,C,0.73
2020-12-21,67,110,C,0.92
2020-11-28,35,138,C,0.9
2020-09-30,22,161,D,0.8
2019-02-22,15,139,A,0.77
2018-09-28,89,137,D,1.02
2019-10-11,31,92,D,1.1
2020-10-11,57,177,C,0.66
2020-02-18,17,186,A,0.9
2019-12-17,18,81,C,0.8
2019-01-09,37,143,C,0.92
2020-07-27,76,113,B,0.97
2019-10-08,34,100,A,0.74
2019-08-06,46,133,B,0.73
2018-08-30,16,215,B,0.73
2018-05-26,52,222,B,0.92
2020-05-03,74,112,A,0.9
2019-08-09,43,111,A,0.8
2019-09-01,52,191,B,0.77
2018-09-15,61,184,C,1.02
2020-06-16,57,179,D,1.1
2019-06-08,12,107,D,0.66
2020-11-08,86,185,D,0.97
2020-03-18,66,153,C,0.75
2018-11-12,25,131,C,0.77
2019-01-02,17,99,C,1.08
2019-06-28,55,103,D,0.87
2018-08-27,70,141,A,0.86
2020-11-12,64,221,D,0.77
2018-08-31,86,106,D,1.02
2019-11-08,86,225,C,0.88
2020-06-12,81,166,A,1.06
2019-12-19,60,183,C,0.95
2019-12-22,41,181,C,1.06
2020-07-02,28,217,B,0.62
2020-04-24,10,83,A,0.87
2020-05-28,46,107,B,0.61
2020-04-18,8,122,B,0.83
2018-12-07,10,178,B,0.92
2021-02-22,84,180,A,0.84
2020-03-14,86,110,A,0.98
2018-04-04,55,197,B,0.86
2019-11-18,72,131,C,1
2020-09-21,34,187,D,0.8
2019-06-17,5,97,D,0.67
2018-08-09,23,171,D,0.97
2018-08-09,46,106,C,0.75
2019-10-31,18,208,C,0.77
2019-10-14,66,103,C,1.08
2020-10-16,48,219,D,0.87
2018-12-26,27,225,A,0.86
2019-11-06,57,115,D,0.77
2019-09-13,75,137,D,1.02
2018-02-25,3,211,C,0.88
2020-04-16,50,91,A,1.06
2019-07-27,41,195,C,0.95
2018-06-18,17,92,C,1.06
2018-01-27,88,142,B,0.62
2018-11-17,43,211,A,0.87
2018-04-01,46,132,B,0.61
2019-04-14,91,114,B,0.83
2018-04-02,22,192,B,0.92
2019-08-20,71,222,A,0.84
2019-10-25,78,176,A,0.98
2020-09-18,91,103,B,0.86
2020-07-04,82,110,C,1
2019-09-11,94,1233,A,1.23
2019-12-13,95,1131,D,1.11
2018-03-10,96,1554,A,1.33
2020-05-31,97,1665,C,0.92
2020-06-14,98,1211,C,0.88
2020-05-31,92,1863,A,0.91
2020-06-14,93,1516,B,0.78
